IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"52.88.72.171","kube-apiserver","","","","","b8aa58c392e717497de0f9ae0777a3c2.yl4.us-west-2.eks.amazonaws.com|ip-172-16-46-20.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.164.14.37|172.16.46.20","false"
"52.88.72.169","*.dev.adobeconnect.com","Adobe Inc.","US","San Jose","California","*.dev.adobeconnect.com|*.rtc.dev.adobeconnect.com","","false"
"52.88.72.174","*.us-west-2.cloudsearch.amazonaws.com","","","","","*.us-west-2.cloudsearch.amazonaws.com","","false"
"52.88.72.183","*.townandcountrymarkets.com","","","","","*.townandcountrymarkets.com","","false"
"52.88.72.197","*.ctclink.sbctc.edu","","","","","*.ctclink.sbctc.edu|*.peoplesoft-nonprod-aws.ctclink.sbctc.edu","","false"
"52.88.72.204","app.women.lifeway.com","","","","","app.women.lifeway.com","","false"
"52.88.72.207","*.enervee.com","Enervee Corporation","US","Venice","California","*.enervee.com|enervee.com","","false"
"52.88.72.213","*.iot.demisto.live","","","","","*.iot.demisto.live","","false"
"52.88.72.225","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"52.88.72.222","example.com","","","","","","","true"
"52.88.72.229","dev-miam.businesstrack.com","First Data Corporation","US","Brookfield","Wisconsin","dev-miam.businesstrack.com|qa-miam.businesstrack.com|staging-miam.businesstrack.com|dev-west-miam.businesstrack.com|qa-west-miam.businesstrack.com|staging-west-miam.businesstrack.com|dev-east-miam.businesstrack.com|qa-east-miam.businesstrack.com|staging-east-miam.businesstrack.com|nonprod-scheduled-reports-miam.businesstrack.com","","false"
"52.88.72.226","*.saas.appdynamics.com","AppDynamics LLC","US","San Francisco","California","*.saas.appdynamics.com","","false"
"52.88.72.234","*.us-west-2.cloudsearch.amazonaws.com","","","","","*.us-west-2.cloudsearch.amazonaws.com","","false"
"52.88.72.244","*.tmatics.com","","","","","*.tmatics.com|tmatics.com","","false"
"52.88.72.242","*.adobe-campaign.com","Adobe Inc.","US","San Jose","California","*.adobe-campaign.com","","false"
"52.88.73.4","*.ecplocator.net","","","","","*.ecplocator.net|ecplocator.net","","false"
"52.88.73.6","*.owlsite.net","","","","","*.owlsite.net|owlsite.net","","false"
"52.88.73.25","api.mdm.l56i.p1.openshiftapps.com","","","","","*.apps.mdm.l56i.p1.openshiftapps.com|api.mdm.l56i.p1.openshiftapps.com|rh-api.mdm.l56i.p1.openshiftapps.com","","false"
"52.88.73.28","*.yesynergy.com","","","","","*.yesynergy.com","","false"
"52.88.73.34","nwea.org","","","","","nwea.org|*.nwea.org","","false"
"52.88.73.50","*.whidsc.net","","","","","*.whidsc.net|whidsc.net","","false"
"52.88.73.45","blog.easybreathe.com","","","","","blog.easybreathe.com","","false"
"52.88.73.65","*.smart-home.vacasastage.io","","","","","*.smart-home.vacasastage.io","","false"
"52.88.73.68","app.dataexport.io","","","","","app.dataexport.io|www.app.dataexport.io","","false"
"52.88.73.73","simtik.com","","","","","simtik.com|*.simtik.com|simtick.com|*.simtick.com","","false"
"52.88.73.14","*.megalytics.net","","","","","*.megalytics.net|megalytics.net","","false"
"52.88.73.76","*.hos365llc.com","","","","","*.hos365llc.com","","false"
"52.88.73.82","*.staging2.clumsyredbull.zynga.com","Zynga, Inc.","US","San Francisco","California","","","true"
"52.88.73.88","ricohcoreportal.com","","","","","ricohcoreportal.com","","false"
"52.88.73.89","*.grability.rappi.com","","","","","*.grability.rappi.com|*.rappi.com","","false"
"52.88.73.86","staking-db-viewer.z7a.xyz","","","","","staking-db-viewer.z7a.xyz","","false"
"52.88.73.96","qa-pod1-idms.mrel.infaqa.com","Informatica LLC","US","Redwood City","California","qa-pod1-idms.ml.infaqa.com|qa-pod1-idms.ebf.infaqa.com|qa-pod1-idms.rel.infaqa.com|qa-pod2-idms.ebf.infaqa.com|qa-pod2-idms.rel.infaqa.com|qa-pod1-idms.mrel.infaqa.com|qa-pod2-idms.mrel.infaqa.com|qa-pod1-idms.patch.infaqa.com|qa-pod2-idms.patch.infaqa.com","","false"
"52.88.73.109","excon-services.agilquest.com","","","","","excon-services.agilquest.com","","false"
"52.88.72.253","demo.core.illum.io","","","","","demo.core.illum.io|event-demo.core.illum.io","","false"
"52.88.73.127","*.smarttab.com","","","","","*.smarttab.com|smarttab.com","","false"
"52.88.73.134","www.6ujhrthjdertyhj.com","","","","","www.6ujhrthjdertyhj.com","","false"
"52.88.73.143","*.dronelogbook.com","","","","","*.dronelogbook.com","","false"
"52.88.73.142","*.pisee.cl","","","","","*.pisee.cl|pisee.cl","","false"
"52.88.73.152","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-01.us-west-2.es.amazonaws.com","","false"
